date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 18:30:05,,,,134.65,23235.64,21136.63,329.53,26.1,6.72,173.27,34213.86,17132.67,296.34,12.5,51.74,5.76,140.59,25455.45,318.31,25.19,6.15,803672,912,0.12,0.3,652.48,117.82,51.7,17.98,1521.78,1891.09,4715.57,14294.16,4562.38,5183.17,24744.27,38741.67,1459.41,1466.34,4267.03,10651.94
10/04 18:30:07,,,,146.53,23158.42,20900.99,300.68,39.51,5.92,168.32,27485.15,23510.89,302.98,11.44,42.82,5.92,124.75,16695.05,269.17,32.59,5.33,803748,996,0.15,0.3,641.58,126.73,50.07,19.85,1248.51,1450.5,2659.41,10606.24,4045.54,4713.86,20841.91,34123.63,1479.21,1463.37,4825.85,10452.63
10/04 18:30:09,,,,51.0,7524.0,5952.0,264.24,50.69,5.96,59.0,8376.0,6256.0,248.0,3.49,43.36,5.15,50.0,7504.0,267.0,51.26,6.08,803824,1072,0.12,0.3,647.0,117.0,51.65,17.8,1153.0,905.0,2832.69,6181.46,2481.0,1671.0,12888.8,10766.18,1039.0,860.0,1883.34,5866.18
10/04 18:30:11,,,,162.38,23879.21,26332.67,309.23,69.37,6.15,196.04,25097.03,33247.52,297.62,9.01,40.16,5.06,169.31,28415.84,314.65,40.03,5.71,803904,1104,0.15,0.4,639.6,114.85,49.42,16.87,1792.08,2134.65,6409.84,15852.45,5459.41,5206.93,32431.2,37038.14,1830.69,2243.56,6294.52,16817.25
10/04 18:30:13,,,,181.19,23477.23,25641.58,271.09,49.08,5.5,214.85,35956.44,28071.29,298.01,10.0,76.73,4.62,130.69,20221.78,301.91,34.95,5.72,803980,1188,0.15,0.4,646.53,118.81,50.83,18.31,1677.23,1874.26,5732.34,13730.97,4485.15,5341.58,23714.11,40171.22,1716.83,1579.21,6453.18,10902.92
10/04 18:30:15,,,,133.66,26017.82,16265.35,316.34,20.88,5.15,172.28,24263.37,27851.49,302.51,6.96,43.03,5.59,181.19,28247.52,325.17,49.78,5.51,804056,1068,0.12,0.4,647.52,120.79,49.55,18.4,1413.86,1875.25,3125.71,14371.98,5167.33,5624.75,29751.65,40875.96,1520.79,2069.31,4070.37,15697.36
10/04 18:30:17,,,,189.0,25908.0,31536.0,303.94,46.33,5.33,148.0,23770.0,21358.0,304.92,4.93,29.26,6.24,200.0,26884.0,291.14,86.28,5.04,804128,1144,0.12,0.37,645.0,116.0,49.56,17.51,1735.0,1990.0,5791.57,14626.77,5205.0,5561.0,29804.91,40926.78,1728.0,1976.0,5990.67,14527.91
10/04 18:30:19,,,,104.95,15603.96,15554.46,296.89,17.19,6.57,174.26,26716.83,24495.05,293.89,12.67,54.07,5.73,147.52,16083.17,260.64,38.85,5.72,804208,604,0.15,0.35,640.59,115.84,48.94,17.88,1371.29,1665.35,3475.31,12306.73,4404.95,4548.51,23932.98,32420.59,1216.83,1484.16,2246.15,11052.6
10/04 18:30:21,,,,133.66,18930.69,23831.68,319.93,28.17,6.1,173.27,28104.95,19475.25,274.61,10.33,60.91,5.75,182.18,24572.28,272.62,46.22,5.47,804284,380,0.17,0.4,631.68,115.84,49.06,17.4,1620.79,1720.79,5248.2,12459.92,4720.79,5121.78,25783.29,36685.61,1547.52,1881.19,4700.59,13800.58
10/04 18:30:23,,,,148.51,16940.59,27639.6,300.17,25.21,5.87,165.35,32334.65,16051.49,292.63,9.77,74.11,6.04,170.3,23057.43,242.99,58.97,5.86,804364,480,0.15,0.32,635.64,127.72,48.75,19.61,1557.43,1741.58,4823.3,12521.06,4462.38,4698.02,23860.21,33651.03,1676.24,1574.26,6257.02,10902.22
10/04 18:30:25,,,,182.18,26108.91,23673.27,273.26,33.06,5.02,186.14,27596.04,24740.59,281.17,12.4,94.29,5.36,179.21,24908.91,289.14,79.78,5.57,804440,524,0.17,0.37,639.6,112.87,49.19,17.89,1589.11,1981.19,4721.97,14656.57,5109.9,5373.27,28749.73,40947.96,1651.49,1802.97,5366.08,12913.87
10/04 18:30:27,,,,165.0,23188.0,23392.0,282.3,38.55,5.72,176.0,27736.0,22828.0,287.3,8.16,36.66,5.08,183.0,23092.0,292.55,67.95,5.33,804512,600,0.17,0.35,649.0,113.0,49.77,18.0,1588.0,2032.0,4817.04,15256.98,5400.0,5722.0,30022.11,41129.97,1393.0,1899.0,3126.98,14336.4
10/04 18:30:29,,,,160.4,18746.53,22718.81,258.52,41.31,5.68,200.99,27992.08,25704.95,267.16,7.24,45.02,4.95,127.72,18887.13,262.02,24.09,6.52,804592,688,0.12,0.35,633.66,116.83,47.63,18.19,1374.26,1599.01,3581.21,11406.16,4354.46,4436.63,23065.21,30926.4,1582.18,1670.3,5179.11,11901.49
10/04 18:30:31,,,,147.52,22732.67,24479.21,320.03,32.52,5.74,186.14,33665.35,22009.9,299.11,12.21,37.13,5.36,189.11,32279.21,313.46,52.56,5.26,804668,716,0.15,0.35,696.04,116.83,52.85,18.66,1835.64,2153.47,5813.96,16041.34,5570.3,5866.34,31784.83,42116.01,1788.12,2115.84,5891.38,15694.42
10/04 18:30:33,,,,151.49,23348.51,24400.0,315.2,41.01,5.56,179.21,29277.23,21083.17,281.02,11.68,74.13,5.56,184.16,26994.06,290.49,61.74,5.41,804740,800,0.1,0.37,645.54,115.84,50.32,18.82,1688.12,1671.29,5895.86,11820.1,4630.69,5358.42,24682.93,40200.95,1575.25,1725.74,5017.33,12460.73
10/04 18:30:35,,,,184.0,27676.0,28192.0,303.63,51.34,5.47,122.0,19920.0,13712.0,275.67,3.77,38.75,6.75,138.0,23026.0,302.07,27.63,6.39,804824,808,0.15,0.32,647.0,120.0,48.51,18.98,1500.0,1562.0,4529.2,11111.45,4306.0,4666.0,22953.6,33463.61,1443.0,1658.0,3920.32,12288.44
10/04 18:30:37,,,,173.27,24314.85,32918.81,330.32,43.79,5.57,179.21,34417.82,23027.72,320.55,9.54,59.36,5.36,133.66,18926.73,270.53,33.04,6.01,804900,884,0.12,0.37,646.53,122.77,48.13,19.29,1564.36,1863.37,4734.81,13872.82,4671.29,5229.7,25267.18,38355.55,1688.12,1594.06,6284.12,11315.75
